hate,female,filtered_text
1.0,1.0,KonsTantine Zhorzholiani ვაი შენს პატრონს და ამ იდიოტი ქალისაც რაც ამან არაფერი არ გააკეთე იმისთვის ეს არ მოხდეს პირიქით ეს ქვეყნის მტერი დედაკაცი სიხარულით აღარ იქნება ნაც ფაშისტებთან ერთად რომ ეს მოხდა
1.0,0.0,Giorgi არა თქვა ქათამმა გიომ შე ქათამო ვისზე ლაპარაკობ უტრაკო მეტრაკე ხარ რამის თავი მაინც გქონდეს შიშით ქვეშიფსავ
1.0,1.0,Qeti Goliadze tqva bozma qetim
1.0,0.0,Fridon Abeslamidze mogityan dedis piri
1.0,0.0,იორგ ველაშვილ მოგიტყან საკაშვირი და შენი სექტა აზროვნება
1.0,1.0,ჩაი ვი რა ქალო შენ ნაცები და რუსები ერთნაირად ნაბო ვრები ხართ ყველანაირ პროვოკაციაზე მიდიხართ ოღონდ ქვეყანამ სტატუსი არ მიიღოს ვის ინტერესებშია ეს ყველაფერი ნაცების და რუსების წადი ახლა მოფსი და დაიძინე ვერც მაიდანს ეღირსებით და ვერც გადატრიალებას
1.0,0.0,საქართველოში უძრავ ქონებას და მოქალაქეობას ორიგებენ ღორებს რომლებიც ქართველ ხალხს ხოცავენ დღემდე სად არიან საპატრიარქოს წარმომადგენლები შოკოლადებს რომ ურიგებდნენ რუს ჯარისკაცებს ჯვარს ამოფარებული კრემლის მონები მთავრობიდან დაწყებული სასულიერო პირებით დამთავრებული აბა ომი გვინდა
0.0,0.0,დიდებულია გილოცავთ ადრესატიც და ჯილდოც სანაქებოა
0.0,0.0,ზუსტად სწორი გადაწყვეტილება
0.0,0.0,ულოცავ ბატონ თეიმურაზს ამ სრულიად დამსახურებულ ჯილდოს დიდხანს სიცოცხლეს და შემოქმედებით აქტივობას უსურვებ დიდი მადლობა მას საქართველოსთვის უდიდესი ღვაწლის
0.0,0.0,დიდია ჩვენი მურაზ მურვანიძე მსოფლიოსია
0.0,0.0,ვულოცავ დიდი პატივისცემით დამსახურებულ ჯილდოს
0.0,0.0,ბატონი მურაზი საუკეთესოა შეენ
0.0,0.0,ვულოცავ ბატონ მურაზს
0.0,0.0,Bravo
0.0,0.0,ვულოცავთ ბატონ მურაზს
0.0,0.0,დიდი ხელოვანი
0.0,0.0,ქალაქის პატრონები ჩვენ ვართ იმსახურებთ გილოცავთ
0.0,0.0,მაი კი უქნია ჭკვიანური
0.0,0.0,მურაზ ბატონო ჩვენი ქვეყნის სიამაყე ადამიანო გილოცავთ
0.0,0.0,გილოცავ გკოცნი გეხვევი მეამაყები ჩემო მურაზ
0.0,0.0,ბატონო თემურ მთელი სამშობლო ხარობს თქვენით და თქვენი წარმატებებით თქვენი ხელოვნებით
0.0,0.0,საუკეთესო ადამიანი
0.0,0.0,ბრავო
0.0,0.0,გილოცავთ ბატონო მურაზ
0.0,0.0,როგორ მოხდა რომ ღირსეული ადამიანი გაახსენდა ქალბატონ პრეზიდენტს ეტყობა ევროპაში დაფასებას მოკრა ყური ბატონ მურაზს ვულოცავ
0.0,0.0,მართლაც ღირსიაააა გაიხარეთ პრეზიდენტოოო
0.0,0.0,ვილოცავთ ბატონო მურაზ
0.0,0.0,გილოცავთ ღმერთმა გვიმრავლოს თქვვენნაიირი შემომქმენდი
0.0,0.0,გილოცავთ
0.0,0.0,გილოცავთ ბატონო თეიმურაზ
1.0,0.0,Klaus Bergman ბიძინამ ერთი რამე გააკეთა კარგი რომ ეგ ქვეშეჯმია ღორის გაგდებული მოგვაშორა შენ ეტყობა იმ დენის მოსვლის შემდეგ დაბრმავდი იმ შუქს ხედავ მარტო გაყიდა ყველაფერი რუსეთს უფეშქაშა ტერიტორიებიდან დაწყებული სტრატეგიული ობიექტებით დამთავრებული მთელი საქართველო დასაჭერი იყო წამებაში ხდიდა სულს პატიმრებს ქართველ ხალხს გენოციდი მოუწყო ჩამოათესლა ყიზილბაშები რომ არჩევნებზე ხმები ქონოდა მაგაზე მეტი მოღალატე და ქვეყნის მტერი და გამყიდველი ქვეყანას არ ყოლია ეს ნაბოზარი ქოცები კიდე ელოლიავებიან გადაათრიონ უნდა ციხეში ეს ღორი და სამშობლოს ღალატის მუხლით უნდა გაასამართლონ სამუდამო უნდა მიუსაჯონ მაგრამ ქოცებიც ნაგვები არიან ორივე უნდა გადაშენდეს ნაციც და ქოციც
1.0,0.0,Klaus Bergman რა იზრდებოდა საქართველოო პირიქით მაგ ქვეშეჯმიამ უფრო დააპატარავა საქართველო ქვეყნის მტრობის და გამყიდველების მეტი რა აკეთა მაგ ღორის გაგდებულმა
1.0,0.0,Klaus Bergman ბნელები და სახელმწიფოს მტრები სანაცეთი ყრიხართ ჩმორებო კაცი ტყ ა სანაცეთს ებარებოდე ჩმორო
1.0,1.0,თამარ მიქელაძე ქათმისტვინა ხარ ვინც შენ დიპლომი მოგცა შე ბნელო
1.0,0.0,Klaus Bergman ვახ ვახ ნაცო ჯალათ სააკას ებარებოდე სააკა საქართველოს სირცხვილი არის ნახევარი საქართველო რუსებს ჩააბარა სომხის ნაბიჭვარმა
1.0,0.0,როცა გინდათ ქალი და კაცი თანასწორია როცა გინდათ ქალი სუსტი და ხელშეუხებელია რა გინდათ ჩამოყალიბდით წითლიძე ბანძია აბა რაა
1.0,1.0,რა საოცარია ამავე დროს თავად სალოს ვინც ღლე ქალას და პუტინის შნირს უწოდებდა პირდაპირ ეთერში დღეს სალო ამ ბაბლის მოკავშირედ იქცა შენა და კოლექტიური სანაცეთი რომ შეურაცხყოფს განსხვავებული აზრის მქონე მანდილოსნებს ამაზე რატომ არ გაქვს ხოლმე რეაქცია კონსტიტუციის დამრღვევო
1.0,1.0,გვარამია ყლექალას გეძახდა და რატომ შეიწყალე
1.0,1.0,თავად აყენებ შეურაცხოფას შენს ამომრჩეველს როდესაც კრიმინალებს იწყალებ და კონსტიტუციას არღვევ დაეგდე ჩუმად მანდ სადაც აგდიხარ
1.0,1.0,Nabozari kaxpa bebrutsuna
1.0,0.0,გაბი კამაევი ამის უმადური დედას შევეცი
1.0,0.0,იორგ ველაშვილ დედის ტყვნა სააკაშვილს
1.0,0.0,იორგ ველაშვილ რამდენი დანაშაულიც ჩაიდინა მაგ შენმა დორბლიანმა სომეხმა გიჟმა და რამდენი ოჯახიც სამუდამოდ გააუბედურა იმდენი შენი დედა და ოჯახი გაწყობს
1.0,0.0,იორგ ველაშვილ საალაშვილის დედას შევეცი და ვისაც მაგი გინდათ იმათიც
1.0,1.0,Manana Kakhetelidze თვითონ არის არაქალი უჯიშო ფრანგი გარყვნილი
1.0,1.0,Mirian Kaxetski shens dedas shave i salome
1.0,1.0,Irina Kevlishvili ნაბიზრები და მეძავეები არიზავენ ესენირო აკეთებენ ამ ბებერი მეძავის თამადობით
1.0,1.0,ნი ნო რეზიდენტ ყ ე ქალას დამძახებელი შეიწყალა და მაგალითიც მიცა უზრდელ ქალებს რაც უნდა უძახონ
1.0,1.0,ნი ნო ვერ არის მატორზე წულუკიანს რომ ტრანსფარანტი ააკრეს მაშინ რატომ არ გამოხატე სოლიდარობა ნაგავი ხარ ფრანსუჟანკა
1.0,0.0,ნი ნო კობახიძიდან მეტს რშ ისწავლით ერთნაირი ნაძირაალაა მთელი პარლამენტი და ყველა მეოცნებეები
1.0,0.0,Lika Revazishvili ატრაკუნებ
1.0,1.0,დღეიდან უკვე ოფიციალურად პოლიტიკური მძორი ხარ პრეზო
1.0,0.0,Iza Berishvili რა დააშავა ქვეყანამ და შენისთანა ბატები რომ დაშტერაობს
1.0,0.0,SNENI SISXLI MOVTKAN
1.0,0.0,ძუკნა
1.0,0.0,dachamet ertmaneti tqvrni dedebs shevecii
1.0,0.0,ფუ შენ თავმოყვარეობას
1.0,0.0,ასე მდაბიო როგორ ყოფილხარ
1.0,1.0,შენ ხომ ქალი არ ხარ შენ ქაჯიხარ და საფრანგეთი აგენტი ხარ გაიხსენე როგორ აპირებდა გვარამია შენი სისხლის დალევას მართალი ყოფილან ნაცები ისეთი აღმოჩნდი როგორსაც გეძახდნენ
1.0,1.0,ამიწყდი სალომია შენს მხარდამჭერებთან ერთად სამშობლოს მოღალატეებო
1.0,0.0,კობახიძეე ჩუჩელაას ვინ კითხაავს
1.0,0.0,SNENI SISXLI MOVTKAN
1.0,1.0,უსირცხვილო ქალო არმად ჩემი ოჯახის ხმა რომელიც მოგეცით ყელში გაგეჩხიროს თურმე გვარამიას უკეთ ცნობილხარ
1.0,0.0,უთავმოყვარეო ძონძის კუკლა მართკა ის ხარ რასაც ნაცები გწძახოდბენ გვარამიას თამადობით
1.0,0.0,გვარამიას ებარებოდე ყლ ქალას რომ გეძახოდა და შენ გამოუშვა ციხიდან
1.0,1.0,Zhuzhuna Gaprindasvili ჩემიც შხამად შეერგოს ამ უმადურ არაქალს
1.0,1.0,ეს ნსგლი ქალი ადვოკსტი სიყვანოს და შეეკითხოს რომ ტინგიცობს არღვევს კანონს თუ არა როგორც ჩანს თვითონ არაფერი გაება კანონის და კონსტიტუციის
1.0,0.0,გააჯვი შე მენშევიკო გამყიდველო რა თავს იკატუნებ კონსტიტუციას რომ გადააბიჯე ტყუილია
1.0,0.0,CHEN VINC KARTULI LAPARAKI GASCALA JER CHENI DA MERE IMS DEDAS RO CH CI
1.0,0.0,ანა წოწორია ნაგავო გველო
1.0,0.0,მარინა ქობულაძე ისე ამოწყდი მომკითხავი არ დაგრჩეს
1.0,0.0,შენ ამოგევსოს ეგ პირი თაბაშირით დაკირით გამოდიოდე დილით იყრეინებდე ჩხირით რას იწყევლები ამხელა ქალიხარ
1.0,1.0,პრეზიდენტი ყ ე ქალა ამის ღირსი ხარ
1.0,1.0,საცოდოვვო საკარტველო ამ კალისგან ეს მოგალატე მატატკანა მოაშორეტ მალე ვის ალაპარაკებთ გმერთო ერთი პრეზიდენტი ნორმალური ზვიადის შემდეგ რა შეიკნა საკარტველოსთვის
1.0,1.0,ბრაო კიარა რაც გამყიდველი წინაპარი თავს ისიც ქართველი ხალხის გამყიდველის ნამუსი რომ გქონდეს ვითომ ქალ უნდა წაეთრიო საქართველოდან
1.0,1.0,Sagol salome bolose gafarchake Eg deputatia tu patara kacinebi
1.0,1.0,ნაძირა ხარ შე ტუტუცო დედაკაცო
1.0,1.0,ყლექალა
1.0,1.0,რაზე მოათრიეთ ეს არარაობა პარლამენტში მე მრცხვენია რომ ამ ქალს საქართველოს პრეზიდენტი ჰქვია ფუი
1.0,0.0,ქათმების შემწყალებელი ნაცბოზბანდაში გადაბირებული გადაბარგებული ფეკალია ხხხტფუ
1.0,1.0,იდი ნახუი ქალოო
1.0,0.0,მახინჯი კუზიანი გველაძუა და გველი გიურზა საფრანგეთიდან ლიყიანო ლოგოპედთან იარე და წესიერად ახსენი სად დაგმარხოთ საფრანგეთის რომელ უბანში როცა ჩაძაღლდები მასეთი შხამით რომელიც თავადვე მოგკლავს
1.0,1.0,უნამუსო და უმადური არაქალი
1.0,1.0,გახრწნილი ნაც ბოზ ბანდის ჩათლახი ყლექალა
1.0,1.0,ნაციონალები ყლექალაზე უარესს შეგარქმევენ
1.0,0.0,რეზიდენტო გააჯვი შენ სამშობლოში საფრანგეთში
1.0,0.0,Mogetkna deda mona bozo
1.0,0.0,შე ნაგავო საქართველოს ხარჯზე რომ შენი შვილები დააწინაურეს ეგ რატო გაატარე
1.0,0.0,შე დამპალო პუტანა აგენტოო
1.0,,დამპალი
1.0,0.0,ჩაჯმულმა ოცნებამ თავისი არჩეული პრეზიდენტი სალომე კგ კარტოფილით და ხახვით გაუშვა სახლში ბიძინა სად იმალევა ნეტა სალომეს რომ ახასითებდა კარგად და ამბობდა ძველ ქართულად ლაპარაკობსო ასე აბოლებდა ბიძინა ჩაჯმული ოცნების ფანებს
1.0,0.0,ვინ დაგიწერა ეს ტექსტი ლენჩო
1.0,0.0,GACHERDI CHEN NABOZVARO
1.0,0.0,რამდენი კვირა რამდენი დღე ვირბინე ნაცი რო არ გამხდარიყო პრეზიდენტი და არჩევნების დღეს ხელჩართული ჩხუპიც მქონდა იმდენჯერ შეგთხარა მურმან დუმბაძემ ზევიდან გუბაზამ შენი მოღალატე პრასტიტუტკა ოჯახს შევეცი
1.0,0.0,MO TKNA KETILEBI CHEN NABOZVARO SAKONELO
1.0,1.0,ისემც ამოგიწყდა ოჯახი შეზუკნა ქალო შენ საქართველოსთვის კარგი არაფერი გაგიკეთებია სიბოროტის მეტი გამოგათრევს ხალხი მაგ სასახლიდან იცოდე შემ დააკნინე კონსტიტუცია შე გველო
1.0,0.0,საქართველოს დედას შევეცი დავრწმუნდი რომ აქ ხალხი არაცხოვრობს
1.0,0.0,ისე ამ ბებერ ნათლიტყანია ბოზის ოჯახი მმმ ნ
1.0,0.0,ყლეზიდენტი
1.0,1.0,სალო შე უტიფარო ვირთხა მოგშორდი
1.0,0.0,შენ რომელი ხალხის სურვილებით იხემძღვანელე რომ შეიწყალე ნაც პიდარასტები მაგათ არ აურჩევიხარ და ვიმც ხმა მოგცა იმ ხალხის უმრავლესობაა ვინც ეწინააღმდეგება შენს საქცირლს უკვე შენც ყვარყვარეს ქალი ვერსია ხარ
1.0,1.0,სირცხვილია ასეთი პრეზიდენტის არსებობა მართლაც პატარა ნაძირალა ქალი ფეხებით უნდა დაკიდო მიშა მისი ჩამოთრევისთვის და ბიძინა მისი პრეზიდენტად არჩევისთვის
1.0,0.0,გააჯვი შენ არა ქართველო შენ შემარცხვენელო შეცდომა ის იყო რო არა ქართულად მოლაპარაკე ადამიანი ავირჩიეთ პრეზიდენტათ და შედეგიც სახეზეა ეს მძღნერ ქალა ეს
1.0,0.0,მიდი გათხარე შენებურათ
1.0,0.0,ნეტა რის გამკეთებელი ხარ ხალხი მშიერი დაყანყალებს ან რა შეცვალე ან რა გააკეთე ხალხისთვის შე ნი და თქვენი წუნკლიანი დედებს შევეცი
1.0,1.0,ვაიი გაგიდეს ნაცებმა კალო აი კალი რა ბანძია ეს უბედური
1.0,0.0,ძუკნა არსება
1.0,1.0,უტიფარი ქალი
1.0,0.0,Debilo
1.0,1.0,ყლექალა რეზიდენტი
1.0,1.0,ეგ არაქალი ქვეყნიდან გააძევეთ უნამუსო
1.0,0.0,ნაძირალა ანტი ქართველი
1.0,0.0,ბოზი
1.0,0.0,ღმერთო რა უნამუსოა
1.0,0.0,უნამუსო ადამიანი ნამუსზე აგდებს უპირებს სხვას ოდესმე მიხვდები ვინ ხარ სინამდვილეში ხო ჩამოთვალე ვითომ ავტორიტეტს აიწევს
1.0,0.0,დაჯვა ქართულ ოცნებას
1.0,0.0,მიშა გამოუშვი და მაგათ თავებს კი ნახავ ვირის ტრაკში
1.0,1.0,ნეტა ეს ტექსტი ვინ დაუწერააა ის რა დებილი არის
1.0,0.0,ამ ყლეობამ გააჯვას სასწრაფოდ
1.0,1.0,რა სულ სიმყრალე ამოგდის მითრეულიყავი სასამართლოზე და იქ გელაპარაკა მაგრამ ყლექალახარ ვინდაგიწერა ეგ ტექსტი თვალს რომ ვერაცილებ
1.0,0.0,Gocha Giorgobiani ახვარი ვარ მე არასწორს ბაზრობ რასაც გიყურებ შე დიუროკის ჯიშო მოწყვიტე ეხლა აქედან ქალბატონ პრეზიდენტზე ცუდი აღარ დაწერო
1.0,0.0,James Black არსად დაგეკარგოს ვაი ე ღორიცახარ და შე ახვარო შენ ვინმე შეგეხო წააძთრიე მალდივზე
1.0,0.0,Gocha Giorgobiani ქალბატონ პრეზიდენტთან ზრდილობიანათ ისაუბრე შე ღორო ღორისშვილო
1.0,0.0,კანონდამრღვევი მრუში
1.0,1.0,ეს რა ურცხვი ქალია აბა ბიჭო რაღა გვეშველება უშენოდ
1.0,0.0,ვინც ქალს შეურაწმყოფას აყენებთ მოგიტყანთ კაცობა
1.0,1.0,ურცხვი უტეხი გამყიდველი სალომე როგორ ამაყობს კონსტიტუციის დარღვევას ზეიმობს და დაურეკეთო ჩამოთვალა ტელეფონის ნომრებიც მიაყოლეთ სახელებს და გვარებს
1.0,1.0,Maria Maria შენ სულძაღლო ნაძირალა რატომ ხარ ერის მტერი და მოღალატე ეს გახრწნილი სალომე პუტჩისტი ნაძირალაა სატანებო არ გრცხვენიათ ზვიადი დიქტატორი იყოოოო ბინძურო ძაღლებო კიტოვანი და ჯაბა დემოკრატებიოოო ერთ დღეს გაწყდით სატანებოოო
1.0,1.0,მარეხი მამულაშვილი მარეხი ექიმს გაესჯნჯე გოგოოო თავზე ტომოგრაფია გადაიღე და გაიგე აბა ტვინი ცოტა მაინც თუ გაქვს დარჩენილი მაგ გამოლაყებულ თავში
1.0,0.0,Zviad Janelidze რაც მეტს იფართხალებს და გაატრაკებს ოცნება მეტად მტკივნეულად მოუწევთ წასვლა როცა მაგისი დღე დადგება პრინციპში რუსული ინტერესების გამტარებლები არც იმსახურებენ მშვიდობიანად წასვლას ეგრე გააგრძელონ რაც დიდხანს იქნებიან პასუხიც პროპორციულად სასტიკი იქნება
1.0,1.0,Ia Kakabadze სრულიად გეთანხმებით და ვიზიარებ თქვენს პათოსს სალიომე გახლავთ ნამდვილად ღირსეული რეზიდენტი ყლე ქალა
1.0,1.0,Moashoret es dorbliani yleqala aqedan
1.0,1.0,შენი პელეძუკა დედაშევეცი შე ლეჩო ქალო და კიდე იმედიმაქ ამის და ოცნების გაყრა დღეს არ გჯერათ ერო
1.0,1.0,იდიოტი ქალი
1.0,1.0,Nato Manjavidze რა დონის ყლე ქალა ხარ
1.0,1.0,ქალო მიხვდი რომ შენისთანა ერის გამყიდველი არ გვჭირდება წაეთრიე რა გგონია გაეხარდება შენი აქ გდება ვინმეს რომ წაეთრევი ეს გაგვახარებს გაიგეთახსირო ქალო შენ ქართველთ მოძულე ჯერ კიდევ წლიდან გვახსოვხარ ჯალათებს რომ ულოცავდი პუტჩს და სისხლის ღვრას იწონებდი
1.0,0.0,ეხლა გინდ გადადექი გინდ ნუ გადადგები თუ გინდ გადათხარ გადმოთხარე შენი ფასი ნულია უსირცხვილო მოღალატევ შენ
1.0,0.0,შენი ნაბოზვარი დედა მოვტყან
1.0,0.0,სალომე ზურაბიშვილი აუცილებლად უნდა გადადგეს მაგას ხალხის უმრავლესობა ეთყვის
1.0,1.0,Qatami qali
1.0,1.0,შენ ხარ ქვეყნის მოღალატე არაქალი ამიტომ ჯობია გადადგე
1.0,0.0,კომენტარებს მალავენ ეს ყლეები
1.0,1.0,უნამუსო ქალი
1.0,1.0,რა უთავმოყვარეო არსებაა ეს ქალი აკისრებული
1.0,0.0,შენ ყველაზე კარგ საქმეს გააკეთებ მიშას თუ გამოუშვებ აი ნახე მერე მაგათი ტრაკის ჟიმჟიმს
1.0,0.0,არაფერი გიკვირს ამ ქვეყანაში არ მოგწონს ეს ქვეყანა ხო და ააჯვი აქედან
1.0,1.0,Nino Karalashvili პარაზიტია ეს ქაჯქალა ჩვეულევრივი
1.0,0.0,Malkhaz Pheradze არეულობას და დედისტყვნას მიიღებს ოცნება თუ კიდე გააგრძელებს ფართხალს პრინციპში არც არიან მშვიდობით გასაშვებები როგორც გაირკვა
1.0,0.0,Malkhaz Pheradze იმ ხალხის დდშვც მე სუყველასი ვინც სალომეს ამტყუვნებს ღორისშვილ ქოცებთან სექტად გადაქცეული საქოცეთი ნაცები რო მონაგონი გახადეს ეგეთი ღორისშვილები შერჩნენ დღეს საქოცეთს
1.0,1.0,უტვინო ქალო შენ მართლა პრეზიდენტი გგონია შენი თავი აგიღეთ და დაგდეთ მაგ თანამდებობაზე
1.0,1.0,ეე ყლექალ არ სჯობდა კარგი გაეკეთებინა და კარგათ დაესრულებინა შენი ვითომდა პრეზიდენტობის ვადაა მარა შენ პაიკი მარიონეტი ხარ და არა პრეზიდენტი შიგნიდან მოგიფათურებენ ხელებს და არა გარედან
1.0,0.0,რომელ ოპოზიციას მიმართავ ნაბოზარს რომ გეძახდა
1.0,0.0,უსირცხვილო
1.0,1.0,სალომე ნაბოზარო შენ ხარ გამყიდველი როგორიც ყოფილა შენი წინაპარი მოძუძგე საქართველოდან სანამ კარგ ხასიათზე ვართ
1.0,0.0,სირცხვილი ხარ ქვეყნის შენი მოღალატე ოჯახი მოვტყან გააჯვი ქვეყნიდან შენი მყვარებლის სახლკარი მოვტყან დედმამის წინაპარი მოგიტყან სამომავლოთ
1.0,0.0,გული გეტკინა კიარა ის შე ცივსისხლიანო ევროპელოო მაგარი ნაგავი ყოფილხარ და კიდევ არ ვიცოდით გაჯვი საიდანაც მოხვედი
1.0,0.0,Ocnebis ki ara xalxs ar undixar nagavo
1.0,1.0,Yle qala
1.0,1.0,She bozo qalo gaetrie vafshe saqaryvelodan sheni mogalate dedas shrveci
1.0,1.0,ლობიო ქალი ძაღლმა რაუქნა შენს მომთრევს ეგარის ახლაც ქვეყნის საზიანოდ საუბრობ და დავიჯერო საზღვარგარეთ რომ წაეთრიე იქ იტყოდი კარგს
1.0,0.0,შენ არ გრცხვენია შენი არასწორი პოლიტიკით შენნაც ბოზების პრეზიდენტი ხარ წადი შენი ევროპული ის დედას შევეცი ნუ თამაშობ ხალხის ნერვებზე ბებერო ძუკნავ
1.0,0.0,უცხო ქვეყნის კახპა ოფუციალური ჯაშუში ჩაჯმულო ოცნება უარესის ღირსები ხართ ამის მოთრევიზა
1.0,0.0,ტუტუცი ნაძირალა
1.0,1.0,Qatami qalii
1.0,0.0,სამართლიანობა ჩვენს ქვეყანაში რაც ქოცები მოვიდა არ არის და რაც რუსები შემოათრიეს და დაასახლეს მითუმეტეს არ იქნება ბორინკას გადასაწყვეტი რომ გახდა ჩვენს ქვეყანაშუ ყველაფერი მაშინ დაგვექცა ქვეყანა
1.0,0.0,უსირცხვილო ხარ როგორ ჩერდები საერთოდ საქართველოში
1.0,1.0,სამარცხვინო ქალი
1.0,1.0,ყლექალა
1.0,0.0,Es bozandara trakhi unda motyna da gaagdo saqartvelodan amis agenti dedas heveci Magari nagli bozandara yofila
1.0,0.0,ვინც აჰაჰაჰვებთ მოგიტყანთ გამზრდელი
1.0,0.0,Wadi da ivanihvilis traks eambore da mere moatyue xalxi he nagavo
1.0,1.0,გული გაქვს და საქართველო გადარდებს სალომე წაკლა ხარ
1.0,1.0,შენი დედაც მ ვტყან სალო და ქოცებისაც
1.0,0.0,შენნაირი მოღალატეები არ არიან ამ ქვეყნის ღირსი გასაძევებელი ხარ საიდანაც ჩამოეთრიე
1.0,0.0,სამარცხვინო პრეზიდენტი ხარ ლაქა ხარ საქართველოს ისტორიაში
1.0,0.0,ხოდა ამ ქვეყანაში თუ არაფერი გიკვირს დავაიი დაახვიე და გაა ი ქვეყნიდან
1.0,0.0,დედა აქ ქვეყანას მოტყნული შეჭამეს შელახეს და გაანადგურეს ქვეყწნა
1.0,1.0,თუ არ მოგწონს ეს ქვეყანა წაეთრიე ქალოოოო საიდანაც მოეთრიე
1.0,1.0,რეზიდენტი ყლექალა
1.0,1.0,უარესის ღირსი ხაარ მე რომ ვიყვე პანღურს წამოგარტყამდი
1.0,0.0,ეს ქვეყანა თუ არ მოგწონს რომ აღარაფერი გიკვირს გააჯვი აქედან ძალით მოგათრიეს აქ ეს ხელისუფლება რომ არა ვინ მოგათრევდა პრეზიდენტად გინდ მიდი გინდ მოდი რას წარმოადგენ საერთოდ ან ვის რას მოჭამ ლენჩო ფუფალა
1.0,1.0,Qatami qali
1.0,0.0,გია გაჩეჩილაძე მწვანეთა პარტია George Gachechiladze Greens Party მხარი კი არა ტრაკი დაუჭირე სკამიდან არ გადმოგივარდეს ეგ დებილი თლიფინა ქუჩის ქალი და ოპოზიციის ტრიაპკა შენ მართლა გაჩეჩილაძე ხარ უბედურო ტვინგაჩეჩილო
1.0,1.0,ალომე დაგაჯვი ბებერ და მახინჯ თავპირზე შენ ხარ ფრანგი ფაშისტი ღორის შვილი
1.0,0.0,Ocneba gendzrevat tkven sacodavebo
1.0,0.0,წადი მოშორდი აქედან სად პოულობენ ამდენ ნაგავს არ გადავდგებიიი მიდი აბა მოითხოვე რეფერენდუმი ხო გაქვს უფლება არ იზავ მაგას იცი რო არავინ ხმას არ მოგცემს ადი ტრაკზე აკოცე ბიძინას რომ ისტორიაში დარჩი ცუდად მაგრამ ხო დარჩი ნამუსი იქონიე რაა
1.0,1.0,მანანა კობახიძემ ნაძირალა ხეპრე ირაკლი კობახიძის წიოწკამ განუცხადა ქართველ ემიგრანტებს წელს რომ ექს პრეზიდენტი სააკაშვილი არ არის ღირსი ყოფილიყი საქართველოს მოქალაქე მაგ მონა ალქაჯისგან ელოდით რომ კეთილ სინდისიერი გადაწყვეტილება მიიღებოდა ყველა ქოცი მთავრიბაში რუსთაველის ქუჩაზე უნდა გატუსაღდეს ქართველების გაუბედურებისთვის
1.0,0.0,შენი მოღალატე დედა ვატირე ვინ მოგათრია შე ნაბოზარო დაგავიწყდა თავიდან არიცოდი ნაცებს რო უნდა დაპირისპირებოდი და რა საქმეების გაკეთება მოგიწევდა არიცოდი მაგრამ შენ ახლა იცი რო ქოცებთან წყალი შეგიდგა აღარ დაგნიშნავდნენ მეორედ ქოცები შენ და მაგიტომაც ნაცებისკე გადაიხარე რო მეორედაც მოხვიდე მაგრამ ჩემს ფეხებს მოხვალ
1.0,1.0,სამარცხვინოა ეს ქალბატონი პრეზიდენტი და ახლა კი ვაღიარებ რომ ის ზედმიწევნიდ იმსახურებს იმ სიტყვებს რა სიტყვებითაც გვარამია მოიხსენიებდა და აი სწორედ იმ გვარამიაზეა საუბარი რომელსაც დღეს ის ასე უტიფრად გვერდით დგომას და დახმარებას სთხოვს აფერუმ თქვენს ადამიანობას ქალბატონო სალომე და ყოჩაღ ამ უმოდვილო ოცნებას რომ ეს სრულიად შეურაცხადი გამყიდველი იმბეცილი ასე გააფეტიშა
