hate,female,0,filtered_text
1,0,wati seni gamzdeli movtyan midi iabdle mse se yleoo bolos waxvalam qveynidan da daitanjebi samudamod,
,,cudadvaaaaaarrrrr ddddddddd,
,,Xalxo normaluria rom kacma qalurad chaicvas Yvela qveyanashi normaluria Mara eset qveynebshi rogorc saqartveloshi xo gcemen Germania da iaponia zalian lgbtq megobruli aris Am tavrobis dedamotyan Titqos chveni bralia ro gay vart,
1,0,მგონი ვერავინ ვერ ხვდება რომ საქარ ველო კავკასიაა და არა ევროპა ან აზია პიდარასტების ამოსა ები ხმა სადაა საქარ ველო ი რუსე ი რო რუსე ია იქ კრ ალავენ ესე რამეს და პუტინს სულ მაგარი კიდია ევროპა და მისი კანონები,
1,1,ფუიიი კრისტი კიარა დედისტყვნაააა პიდარასტტ,
,,,
1,0,ყველა იმ ყლეს შესცეს ბუღამ ვინც ამათ უჭერს მხარს ამათ ისევ თავიანთები ტყნავენ ამიტომ არ სჭირდებათ,
1,0,იცის თურმე სადაც ცხოვრობს როგორ ეკადრება საქართველო მეც მიკვირს რა გინდათ საქართველოში თქვე დედამოტყნულებო,
1,0,მათმოვუტყან დედისმუტლ ებისათითაოდ ყველას,
,,ვიჯვავვვვვვვვ,
,,Da ara marto shen yvela LgbtH s wevrs vuwer mxars,
,,Mec giwer mxars qristi,
1,0,მოგიყან ტრაკგედერობა,
,,cxovrebas gauge ki dedikoo,
,,აქ რა საცოდავი ჩანს tik tokზე მთელ საქართველოს აგინებს,
1,0,აუუ საცა ვნახავ იქ მოუტყანვ დედის მუტელს სახე თუ არ დაუშრამო ისე პლასტიკური ოპერაციამ ვერ მოუხერხოს თქვენი დედა შევეცი საქართველოში ისეა უკვე რამე გადახრა თუ არა აქვს ადამინს მაგარი ჩამორჩენილია აგერ იტალიაში ვცხოვრობ წელი აქ ვინმე სტრანსგენდერი დაინახონ ქუჩაში ჭშტვენა და დედის მუტლით აცილებენ გზაზე სამხრეთისკენ ანუ რომიდან დალშე და ზემოთაც იგივე ოღონდ ზემოთ მაინც კანონი მყარად არის და ასე მარტივად ვერ დაუშავებ თორე ქვემოთ ღამე ტრანსმა რო გაიაროს ან დაყაჩაღებულია ან კიდე გასისხლავენ უზომოდ საქართცელოში ასეთი სტერეო ტიპები არიან ანუ ცოტა ელგებეტეს მხრიდან თუ ახლოში არ ხარ აუუ იმენა მაგარი ტყიირი ხარ და რაღაც ჩარჩენილი იან წლიანებშიო ამჟამად არ ვიმყოფები საქართველოში მაგრამ როცა ჩამოვალ სადმე ვნახო მითუმეტეს ღამე იქ მოუტყნავ დედის მუტელს ბლაგვი ჯოხით უნდა ვცემო აბა მაგათ ხელით როგორ შევეხები ამათი სულით აყროლებული დედას ჩავაჯვი ყანყრატოში,
1,0,ვერ ვიტან ამ ადამიანს მე ლგბტ ადამიანების ერთ ერთი დამცველი ქრისტი ლაბაძე მიმაჩნია ანომალიად და ბოროტების სიმბოლოდ წერტილი,
1,0,Es yle vin miushva mikrofontan,
1,1,sheni dedas sheveci pedarasto qristi,
,,კრისწი დეე,
1,1,tkveni dedebimovtyan,
,,ანუ ეს ახლა ნორმალურია და ვინც ამას ალაპარაკებს ის ხო ვაფშე ხალხნო სარწმუნოებას აგინებს ხალხს რო თავი დავანებოთ,
,,ბათუმი და აჭარა გაფიცებტ თბილისი ხო რას ამბობ,
1,0,magati deda sheveci,
,,ეგ რას გაიგებს ესა მე მაგას შეურაწყოფას არ მოვაყენებ და თქვენც ნუ მოაყენებთ რომ უწერთ უზრდელ კომენტარებს რა თქვენი კომენტარების და ეგეთი სიტყვების ღირსია ეგ თავი შეიკავეთ ეგ ქალი ამის ღირსიც არ არის,
,,კრისწი დეე დდ,
,,კრისწიიი დედუუ,
1,0,es adamiani aris mzgneri yle muteli gamoyleebuli xalxo zer is video naxet ra sityvebs izaxis zvartan es yle an ra videoebs debs vis mowons an vin cemi yle agulebs mag videoebs amas colat tu qmarat aravin ar gayveba arc vici cols iyvans tu qmars es yle gamosirebuli kristi labadze ara didi yle,
1,0,Am lgbts dedas spheveci,
1,0,tqveni lgbt deda sevecii erti lgbt dameqaparakos aba sadme momweros iqve unda movutyna dedis trakii moajvit abaaa saertot es lgbt ebi ra gaxdnen moasoret saqartvelodann qveyanas arcxvenenn,
1,1,Kristi shen jish jilags shesca kartvelebma miwevixar shen mepire daqalebs,
1,1,ქართველი ხარ თუ ნემეციი ქრისტი ლაბაძე შეგეციიი,
1,0,Mogityant deda,
1,1,Mokalit es kristi labadze,
,,გოგოოო ლგბტ კიარაა ელ ჯი ბი თი lgbt,
,,ვაი თქვენ არ იცით ქრისტი ვინაა,
,,Mash reebi arian kai adamianebi dasakmet,
1,0,SAIZGARI XAR MOSAKLAVI XAR SAQARTVELOS SHEMARCXVENELI XAR GEEBIS PEDARASTEBIS DA EGETI SAZZIZGARI SAZOGADOEBIS DEDACMOVT N DA SHENI XO UFRO YVELA SHENNAIREBS DEDAUNDA QARTVELMA KACMA RAXAR SHENC AR ICI ME RO DIDI VIYO ISE GCEMDI RO MOGKLAVDI DA VINC AMAT AMARTLEBS AMATIDEDAC ESENI SAIZGREBI ARIAN DA ELEMENTARULI GANATLEBA AR AQVT WESEBI UKVE AGAR MAINTERESEBS IMITOM ROM TIKTOKZE ISET VIDEOEBS WER ROM AQET MAGIMNEB NETEA AQ EGDO MOGKLAVDI DA SHEN VISZE LAPARAKKOB VINMEM RO GITXRAS JER IO ETKVI SHEN ENAZE NERAVI BOZO DEDASHNIS EWEREBAO VIGAC ISETI ADAMIANI ROMELIC VAJKACIA DA SAQARTVELO UYVARS DA ES SHEXVDEBA SHEMOAKVDEBA ES MIDIT GAMAKRITIKET GELODEBIDT DEBILEBOOO IMDENI TVINI AR GAQVT RO ESENI DASAJOT DZAALIAAN MKACRAT DA MERE ISWAVLIAN WKUAS,
1,0,ფუ მაგისი დედაც გვარის შემარცხვენელი იდიოტი არსება განათლებაზე რომ დაიწყებს ლაპარაკს და ხალხის რომ არ ეშინია აგინებს ქართველებს ნახეთ ერთი მაგისი tik tok ი და თქვენც მოგინდებათ გინება მთავრობამ კიდე მაგათ გამო ხალხს იჭერენ რადგან შეადგინეს იყოს ერთი კიდე ბიძინა პრეზიდენტი და არა სალომე მაგათ დედას უტირებდათ ბიძინა რომ იყო პრეზიდენტი ვერცეთი ხმას ვერ იღებდა და საერთიდ ქრისტი საქართველოში არც ჩამოდიოდა,
1,1,კრისწი შენი შიზოფრენიცა დედას შევეცი,
1,0,ყველამ დისლაიქი მიცხეთ ამ ყლე არხს ეს დაყლეებული არხი ადმინ შენი დედავთხარე,
1,1,შენი ყლე დედაშევეცი და ვინც კრისწის ნაიერებს მხარს უჭერთ მაგათ ორჯერ უფრო,
1,,me sevecvie rogor unda vicxoovro maginebe da sevecvie tqvani dedass,
,,she pidarasto pu gaajmevinet am debils Kristi ara chemi pexebi,
1,0,zedmeri sityvebis daxarjva ar aris sachiro asetebi ertad unda shekribo da chacrilo da moacilo dedamiwas,
1,1,მხარს ვუჭერ განსხვავებული ორიენტაციის ხალხს მაგრამ რაც შეეხება ქრისტის შენს დედას შესცა მთელმაა კაცობრიობამ,
,,აუ კრისწი დეე,
1,1,ესქრისტი ლსბაძეე ყოვლღე საცემიაა გწრმანიაში რომ ეგდოო ხაალხსს და ქართველწბს რომ აგინებდაა შაქარშვილის დედაზეე რებსსს ამბობდაა ამასს ვინ აპტიებსს ვიღააც გაურკვეველიი უჯეშოსს,
1,1,ვითო გავითარებული დ ათავისუფალი თვენი დედები ვატირე მე ვითო რიბელარიზმო ხალხო თქვე გამოსირებულებო იმე LGBT MEMBER ზოგადათ მაგარი ყლეები არინ უმეტესობა როგორც ჰიტლერმა ნარკომანები გემბანზე დახოცა ისე მოგიწევთ,
,,Vai tqvens patrons,
1,0,კიარ მგონიხარ შე ყლეო ავადმყოფი ხარ ბუნების საწინააღმდეგო არსება ელემენტარული ბიოლოგიაა ევოლუციის საწინააღმდეგო მდგომარეობა დადგება ის დრო როცა ერთად ყველას ჩაგხოცავთ,
1,0,Cocxlad unda dawns amati dedebs movtyan mteli Guido mezizgebit tkve nabichvrebo,
1,1,Dedashens Sheveci pirshi Kristi tkvens liberates dedebs Steve I tkve nabichvaro gorebo unda daxvrito uklebliv suyvela cocxali ar unda Dario arcerti cocxali,
1,0,es labadze amis dedas shevtxare germaniashi ro iyo lives chartavda da qartvelebs dedis traks gvitrialebda es pidarasti girsia sadme tyeshi xeze miaba amis gamzrdeli ro movtyan,
1,1,ქრისტი ლაბაძე ავადმყოფი თავისი ძღნერული ფერსონალითის გამოა და ამის გამო აგინებენ მაგრამ ჰომოფობიაში ეშლებათ სამწუხაროდ დაზომბირებულ ფსევდო ლიბერალებს,
1,0,Au Ra Ylea,
1,0,შენ დედის ტრაკს მოვტნავ ვის უნდა ეშინოდეს ტრანსგენდერის,
1,0,es bozi sadme rom ar gamochndes ar sheidzleba raaa,
1,0,Avadmyopi xar aba ra xar she gandono,
1,0,pui eshmaks ras gavxart tqveni ujisho kargi movttyan rogor mezizgebitttt,
1,0,vgonivart avadmyopebio she yleo shen tu janmrteli xar D dedas sheveci tqveni,
1,0,tqven mogityant pidarasti dedis muteli yovel ricxvshi lgbt kiara pidarastebi xart shicianebi yvelaze sashishi seqta xart,
1,0,სირცხვილი ეგენი არიან ავანდყოფები და ერის ჭუჭყი,
1,0,ცადით საქართველოდან მეტრაკეებო,
1,0,tvennairi sirebit etyneba deda saqartvelos tqveni deda movtyan,
1,0,ეს ქათამი რო განათლებაძე ილაპარაკებს,
1,0,Pidarastebis dedas sheveci Me magati debili dedas sheveci Mag yleebis deda movtyan Eg yleebi Eg nabozrebi,
,,,
1,0,ეხა მოდით სამართალი დავიხვათ ვის რაში აინტერესებს ვინ რა იქნება ჰომოფობი ტრანსგენდერი და ა შ მივხედოთ ჩვენს მშვენიერ ცხოვრებას პ ს მისი არავინ არ ვარ დდ უბრალოდ სამართალი რომ დავიცვათ ჯობია,
1,0,უნდა დაყვეე და დახვრიტო ყველა ერთიანად,
1,0,ავადმყოფი არის აბა ვინააა ამისგანდონა დედა შევეცი,
1,0,Nu apiarebt am avadmyoph dedamijmul pidarastebs amat movutyan damtrawebeli dedis muteli,
,,რატო არგეცოდებათ ესეთები ესენიც ადამიანები არიან და რაქნან რო ესეთები მოვლენენ ამ ქვეყნას ნუ იფიქრეთ ამაზე და ყელის გამოჭრას არავინ გაპატიებთ ღმერთან როცა წახვალთ,
1,0,https www youtube com watch v tAy V pb w ვინც ამას მხარს უჭერს იმის ოჯახს შევეცი ეს ადამიანი არის მოსაკლავი კარგად უსმინეთ ბოლოში რეებს ამბობსდა ზოგადად მაგის ვიდეოებს გადახედეთ რა ადამიანია ყლე ხალხი რათ ვინც ამას მხარს უჭერს ყლეეე,
1,0,Nodari nu xar pituxcika yle ra getyoba pirwminda yle xar xalxs upragonod agineb seni trakis saqme ar aris vin ras ityvi rac seexeba bevri transi magari nashaa da tu segviyvardeboda coladac moviyvandi ar seizleba vinmes gariyva elgebetes kide ver vitan fuu magati transic adamiania da xeli unda seuwyos adamianma,
1,0,მე ვიცი ეს ვინცაა ვინაა და ყლე,
1,0,ლგბტ მაგარი უყო ელ ჯი ბიტი მაინც თქვი შე უპატრონო,
1,0,avadmkofi xar da yle xar aba ra xar sheni dedas sheveci mogityan dedistraki,
1,0,vinc datmobskide mostyvnia patroni,
,,wesieri xalxi amas arasdros davtmobt,
,,ra aqcias martavt qrisianebi ar xart tu xart iyavit tqventvis da nu gamodixart garet aqciit tanaswori uflebebi gvqondeso es arasdros iqneba xo icit parlaments vin kitxavs roca xalxi dgas,
,,არასამთავრობოები უფრო მეტად აღიზიანებენ და მეტ აგრესიას თესავენ საზოგადოებაში ლგბტ თემის მიმართ და ლგბტ თემის წარმომადგენლებს იყენებენ გრანტების მოსაზიდად და აქტიურ პროპაგანდას ეწევიან მხოლოდ ფულის გამო და არა ადამიანების დასაცავად,
1,0,gulis amrevebi xart adamianis problemas mainc ar itvaliswinebt tu ratoa transgerderi da vitom soflis knutebi mere karenovi tbiliselebi ar qurduli stilis arian mara mainc idzaxit aqana iqana waibois tqve gamosirebulebo,
,,Qristi mxars gicher,
,,hvela adamiani tanaszoriaaaa,
,,Cadit da ik ganvitardit sakartveloshi dzalian sasaciloebi xart,
1,0,tqveni cisartyela deda movtyan ra tanasworoba qatmebs normalur adamianebamde ra undat es ylis jogi,
,,Cadit mere am kveynidan,
,,ეს ვიდეკ წლისაა ეხლა წელია ნეტა როგორ წარიმართა ამ ხალხის ცხოვრება და რა ელით მათ შემდეგ წელში,
1,0,ყლე ბავშვები ასეთებს ვჩეხავთ დანებით,
1,0,ორი ყლე,
1,0,Yleeebo,
1,0,Es ylishvili nabozvrebi gamomivda eseseli es ylishvili tkveni dedebi movtyan nabichvaro avadmyofo gorebo,
,,Qurduli nakolka saidan aris ver xedavt qimiania eg,
,,,
1,0,ათას კაცში ზიხარ ტან ზემოთ ასე ყველას დასანახად და არ იცი რომ ინტერესს ვიღაც რომ გამოთქვავდა ნაკოლკებზე რა ცალკე შეხვედრა ბიჭო მანდ ხარ იავნად და კეთილი ინებე გაეცი პასუხი,
1,0,აი ამ დედა მოტყნულის თმები და ტატუები მოვტყან შენ ოჯახს შევეცი,
,,Ei bavehvebo bavshvebo,
,,Ex bavshvebo bavshvebo,
1,0,Amat magra gavaqatmeb chemi dedavatire simon,
1,0,magari sirebi arian magari qatmebi,
1,0,სვასტიკები რო დაუხატია ამ სირს თან დ,
1,0,awi policiisstan shexvdi she mutelo D zvozdachkebi ki ara patara mamlebi daixate,
,,ქიმიანია და არა იანი,
1,0,Ori puchuri,
1,0,Cremliani tvali tatu nishnavs kaci gkavs mokluli,
1,0,Tmebshi unda chagavlot kacma xeli da gverdidan unda mogcet pirshi orives,
1,0,ვის რა ტრაკის საქმეა ნაკოლკების დახატვა და კიდე ძაან უზრდელობააა იმის კოთხვა თუ ესა თუ ის ტატუ რას ნიშნავს ვინ ეკითხება სხვას,
1,0,ორივე ყლეები ხართ,
1,0,ჯერ ფიქრობ რომ ღადაობენ მერე გგონია როწინასწარ დადგეს თემა მაგრამ ბოლოს ხვდები რო ვიღაცეები უბრალოდ ყლეები არიან და პახოდუ კომენტარიც გენანება უკვე,
1,0,რაყლე ხარ შვილო,
,,Zvezdowkas chemi da axsnis to gamomivida qurdi,
,,she gogona amoiwvi rame tanze,
1,0,ზედ კი დაგაჯვით,
,,,
,,,
,,,
1,0,რა მაგარი ყლის თავები ხართ,
1,0,საყლევეთია,
1,0,Da ra problema aqvs vinmes qurdebTan rame problela gaqvT ro aq axsna hirdebodes jer ra saubaria tu vinmes ramesis axnna unda calke tema da quha da aq amis axna ara gansaxilveli tema sabazroa ibazret quha ristvisa,
1,0,ორივეს მოგიტყნათ დები,
1,0,ამ ორს ზოდიაქოს ნიშანიც ყლე ექნებათ,
,,Vin icis ras nishnavs cremli,
1,0,Ra yleebi arian,
,,ეს რა პასტით დაიხატა,
1,0,კბილები ფაიპლომბე შე ყლეო ნაკოლკების დახატვას,
,,Male ukve marsis kolonizacia iqneba eseni reebs bazroben,
,,Satanebis nishnebi axatiat da shens suls shemovevleo,
1,0,kleebi,
1,0,Kleebo,
,,არაფრის გამო აგინებენ კაცს კომენტარებში რა თქვა ისეთი რო ეკუთვნოდეს კაით რაა,
,,,
1,0,deda ramden yles zdis saqartvelo,
,,უსაქმურობის ბრალია ეს ყველაფერი,
,,Qurdebs bevri blaTavi arunda,
,,Pu raaa gamosirebuli tatuebi akvs,
1,0,Gamxmari mdzgnerivit rom iwelebian,
,,მაგრებ ხართ,
1,0,შენ ნაკოლკიანო და დაბრალებულო ბლატნოი რაიყო მაგარი ბიჭი ხარ და ამარიჟაებ ტატუებს კიარ ამარიაჟებ ბიჯო კაი ხალხს არცხვენ პროსტა ტეხავს,
