hate,female,filtered_text
1,0,ჩაიგდე ხმა შე მავნებელი ომი საქართველომ დაიწყო ლავროვი საუკეთესო დიპლომატია თქვენისთანა მავნებელმა ფარისევლებმა შექმენით ეს მოცემულობა ხმა მაინც ჩაიგდე ან პირდაპირ თქვი რომ ხარ იყავი რუსი ოლიგარქის პირადი მონა მისი ყველა სიმახინჯის შემსრულებელი და ნანობ სად არი სინანული ან ოლიგარქის კრიტიკა შე ფარისეველო
,,ჩადი მერე და დაელაპარაკე ლავროვს შენი თქმით სანაქებო პოლიტიკოსია და მოახერხე და მშვიდობა მოუტანე ქვეყანას დააბრუნებინე ტერიტორიები პირველად წახვალ უნებართვოთ თუ რა ჩადი ლავროვთან და გააკეთე საქმე აი მაგას მართლა თუ გააკეთებ ერი არ დაგივიწყებ ვის იმედზე ხარ ვინც შენსავით შეშფოთდება ეჰ რისი გამკეთებელი ხარ
,,აღშფოთებულებმა უკრაინას რაში დაეხმარენ ან ამხელა უკრაინას რაში წაადგა მათი დახმარება და ჩვენ რომ დაველაპარაკოთ რუსეთს აღარ მოვიდა დრო და დავამთავროთ ეს პროვოკაციული მკვლელობები და დაპატიმრებები თუ ვეღარ გაიგეთ შეშფოთებულები რომ ვერ გიშველით თქვენი დიპლომატია გადაშენდა რას უპირებთ საქართველოს დამოუკიდებლობა გიბდათ დააკარგიოთ და მართლა რუსეთი გახდეს უქართველოდ მაგაზე მიდიხართ გამყიდველებო
,,ერთმორწმუნეობაზე ყურადღების გამახვილება მაინც რისთვის დაგჭირდა ქალბატონო პრეზიდენტო ქრისტიანობას ებრძვი
,,ნაცები სისხლზე გადავიდნენ და თავისიანით დაიწყეს ქუჩა უნდათ ქუჩა აწიონ მარა ვერა ქუჩა მარტო მაგათი არაა და ქუჩამ სამართალი იცის ესენი ამას ვერ გაიგებენ უნდა ვაგრძნობინოთ მოვიდა დროო მოქაჩეთ ქაცარავა როგორც საჭიროა და დააფქვევინეთ ქუჩას კი ჩვენ მოვხედავთ აგერ ანტიმაიდანის კაცური სასტავი ხელს მაინც გაშლის დაიღალნენ ბიჭები ლოდინით რაიო მერე ევროაოოოოო ფეხებზე გვკიდია უკვე უნდათ მოგვიღონ უნდათ არ მოგვიღონ
1,1,სამარცხვინო ქალო მიდი გაეკიდე ქაცარავას
,,ძაღლისტავია დამარხული არ მგონია მატ ეს სპექტაკლის ნაწილს გავს
,,რა უკანონო დაკავება კანონიერი დაკავების უფლება როდის მივეცით ოკუპანტებს ღარიბაშვილმა დაგიწერათ ტექტსი
0,0,იმოწმედეთ პრეზიდენტო
,,როდემდე ვეკითხები ქარებს როდემდე ვეკითხები წვიმას
,,ენნაირი პრეზიდენტები როყავს საქარ ველოს მიტო ვარ ამ დ ე ი რაქნეს უცხოელმა პარტნიორებმა დაგმეს იმედია მალე დაგიმ ავრდება საპრეზიდენტო ვადა
,,უკანონო დაკავება კი არა გატაცება ქვია მაგას
,,როდის უნდა გასცდეთ შეშფოთება აღშფოთებას
,,თუ მართლა შეგტკივა ქართველებზე გული აღიდგინე ძალაუფლება და მიხედე საქართველოს და მასში მცხოვრებ ქართველ ხალხს მაგრამ ეგ უბრალოდ თამაშია და ხალხსაც უცრუებთ იმედებს
,,დავიღალეთ ამდენი დაგმობა აღშფოთება შეშფოთებით ამდენი უსუსურობით აღარ დადგაა ქმედებების დრო
,,რადგან ღრმად ხარ აღშფოთებული რუსები გარბიან უკვე
,,ქალბატონო პრეზიდენტო იქნებ სწორი პოლიტიკის გატარებით მოლაპარაკება აწარმოოთ რუსეთთან და სამაჩაბლოს არალეგიტიმურ მთავრობასთან რუსეთის მიერ საქართველოს ოკუპირებულ ტერიტორიასთან დაკავშირებით და მიიღოთ მონაწილეობა რუსეთ საქართველოს კონფლიქტის განტვირთვასა და საქართველოს ტერიტორიული მთლიანობის აღდგენის მოგვარებაში და არა მარტო სამაჩაბლოში არამედ აფხაზეთის გარეჯის და ა შ შორიდან მორალის კითხვით აზრის გამოხატვით აღშფოთება შეშფოთება და მიტინგებზე ფეხების ბაკუნით ლანძღვა გინებით შარვლის ჩახდით არაფერი არ გამოვა საქმეა საქმე თორემ ლაპარაკი თუთიყუშსაც შეუძლია
,,უპატრონო ქვეყანას აბა მეტს რას უზამენ
,,ჩხაბერიძე ნუ ისვრი სისულელეებს
,,დაგმობა ეს უშველის იმ დაღუპულ ქართველს
1,1,რა უზნეო ქალი ხარ არ იცი როგორ აურიო ქვეყანა გადადექი მოგიწოდობთ ქართველი ხალხი
,,ჩაკვდი სალიიიი შენ არავინ გკითხავს ნაცების დედოფალო
,,შეხვედრა მინდა ქთხოვთ ვინმემ შემახვედრეთ
,,დაგმობენ როგორც ყოველთვის მოწოდების გარეშეც
,,ასე იყო ქნ პრეზიდენტო წელსაც იგი მზადდებოდა წლიდან თვითონ თქვა პუტინმა ასე რომ არანაერი მძინარე ცხინვალი არ ყოფილა და არც საქართველოს არ დაუწყია ომი პატარა ქვეყანა როგორ დაიწყებს ომს ძალიან დიდი ქვეყნის წინააღმდეგ
,,იმედია დღეს ნოემბერს სააკაშვილის შეწყალებას არ აპირებ და თავი მოიჭრა საბოლოოდ
1,,Neta icodet mainc ras bjuturobt
,,არადა ალბათ როგორ გინდოდათ უბედურება ნაცები ხომ ლეშიჭამიები ხართ
,,დაგმობა გააცოცხლებს ნეტა როდის უნდა გამოვიდეთ იმ კოლონიალური ფსიქოლოგიის მარწუხებიდან როცა დასავლეთის დაგმობა რამედ მიიჩნევა და შეშფოთება ხო საერთოდ ზეაღმატებულად ერთი ევროპარლამენტარი რომ გამოვიდეს და ღრმად შეშფოთდეს ამით ამოიწურება საკითხი შენთვის მანდმადღლეზიეეე
,,ყველა ქვენ აგანს ვინც მ ავრობა ი ხარ მიგი ვი წვლილი მაგ მკვლელობა ი იმიტომ რომ ყველა უნია ო და არაფრისმაქნისები ზიხარ პარლამენტ ი და არაფერს არ აკე ებ ვენი ხალხის დასაცავად საოკუპაციო ხაზზე
,,sakutar kveyanas amerikidan mikrofonit xelshi xmamagla lancgavda da rusets cerilebs cers
,,უსეთი ოკუპანტია როდემდე უნდა გაგრძელდეს უდანაშაულო ადამიანების ხოცვა
0,0,ბრავო ქალბატონო
,,ქალბატონო სალომე ზურაბიშვილი Salome Zourabichvili პარლამენტში და მთავრობაში მილიონერები რომ გვიზიან რატომ არ დაშლით ასეთ პარლამენტს
,,მეც აღშფოთებული ვარ ქალბატონო სალომე ზურაბიშვილი Salome Zourabichvili
,,პირველი ჯგუფი მიმდინარეობს მილიონიან დოლარის პროექტის http targmne epizy com განხორციელება ორიგინალი ტექსტური ლექსიკონის რუსულისა და ინგლისურის ქართულ ენაზე შევსებულია სიტყვითი რაოდენობა წინადადებაში ინგლისურში და რუსულ ენაში
,,Nino Tabize tqveni shvilebb gaushvit omshi Me ar minda tqveni tanagrznoba madloba
,,Natia Jamaica ვერ გაიგეთ თუ ვერც მიხვდით გითანაგრძნობთ
,,Tina AkhvledianiTina Akhvlediani სად ჩავიდა იქ არ ჩავიდა სადაც უნდა ჩასულიყო მშვიდობისთვის მეგობრებს არ ესაუბრებიან
,,Tina Akhvlediani იმპიჩმენტის გამოცხადება და მტრად შერაცხვა სულ სხვა თემასთან იყო დაკავშირებული და სრულიად სამართლიანადაც
,,Vaso Kapanadze როცა ჩავიდა მაშინ იმპიჩმენტი გამოუცხადეს და მტრად შერაცხეს
1,0,Nana Marshania გადაწყვეტენ არიან რუსებიც და მათი თაყვანისმცემლები ვინც ეგ ღორები შემოყარა საქართველოში ხლივს მოშორებული იყვნენ საქართველოდან და შინაურმა მტრებმა ყველა ნაგავი აქ შემოყარა ქართველები გაყარეს საქართველოდან სატანებმა
,,Manana Kvelashvili ევროპელი აღშფოთებული
,,ნინო ნინო მხოლოდ აღშფოთებით შემოიფარგლებით ეს გაქვთ დაზეპირებული
,,ზურა ოთარაშვილი ააიპი თუ სიპი
,,ზურა ოთარაშვილი ში ხმა ვის მიეცი
,,ზურა ოთარაშვილი რომელი ხის ტოტი მოგიტყდათ თქვენ საიდან ჩამოვარდით
,,ზურა ოთარაშვილი რა კარგად გამოგივიდათ მარტო წერდი თუ დაგეხმარა ვინმე მასე ააგრძელე
1,0,ზურა ოთარაშვილი ylis shvilo
,,Inga Grigolava ბატონო
1,0,Ketino Paichadze bebero bozo mogberzda kacebi
1,1,Lali Gugushvili mogityan dedis piri
,,Nutsa Chikovani კიდევ იარაღის მიწოდება იციან რუს მხეცებს რომ აჟუჟინონ მეზობელი ქვეყნების მოსახლეობა
1,1,KonsTantine Zhorzholiani რა სიკვდილი გააკეთა ამ ჯაშუშმა დედაკაცმა რომ ეს არ მოხდეს გადავასახლოთ მილიონიანი რუსეთი თუ ჩვენ გადავსახლდეთ რითი აპირებს ეს გველი დედაკაცი საქმის მოგვარებას შეშფოთებით თუ ამერიკის ბაზების გახსნით მაგ ადგილას და ორ დღეში სამუდამოდ გაქრობას საქართველოსი
,,KonsTantine Zhorzholiani მერე წელს ვინ ჩააბარა რუსებს სამაჩსბლო და აგხაზეთი
,,ციცო რევაზიშვილი ეს ეხლა არ მომხდარა პირველად და მაგაზე წამსვლელები რომ არიენ რუსები არც ეგ არ არის ახალი ამბავი
,,ციცო რევაზიშვილი ხელისუფლებას ვერ კადრებთ საყვედურს
,,Nutsa Chikovani საკუთარ ხელისუფლებას საყვედურს ვერ კადრებთ
1,1,KonsTantine Zhorzholiani ვაი შენს პატრონს და ამ იდიოტი ქალისაც რაც ამან არაფერი არ გააკეთე იმისთვის ეს არ მოხდეს პირიქით ეს ქვეყნის მტერი დედაკაცი სიხარულით აღარ იქნება ნაც ფაშისტებთან ერთად რომ ეს მოხდა
,,Nutsa Chikovani სხვაც იციენ მაგრამ ჩვენი მთავრობა მეორე ფრონტის გახსნაში დაადანაშაულებს დასავლეთს და რუსეთს დაუჭერენ მხარს
,,მთავრობას რომელსაც ერთი ადგილი იმისთვისაც კი არა აქვს რომ საკუთარი მოქალაქეები საკუთარი ქვეყნიდან არ გასტაცონ თანამდებობებზე ყოფნის უფლება არა აქვს სადაა ღარიბაშვილი კობახიძე კალაძე რატომ არ გვესმის ხმა საპატრიარქოდან რა ვიცი ჰელუინზე განხადებებს განცხადებებზე ავრცელებდნენ და ეტყიბა მკვკეკიბა უფრო ნსკლები ცოდვაა მერე რა ერტი ადამიანი გაიტაცეს მოკლეს ღმერტო რა გ ესველება ამათ ხელში ოპოზიციაც კი არის კარგად ჩასვრილი და ასე ჩვენ ვარ აწაკწაკებულები უცხო ქვეყანებში რომ თავი გადავირჩინოთ
,,იორგ ველაშვილ რაა რომ გამოვა საზღვარს გადაკვეთავს და გმირობას ჩაიდენს შევარდნაძის და სააკაშვილის შეცდომებია რომ ვიმკვით
1,0,Giorgi არა თქვა ქათამმა გიომ შე ქათამო ვისზე ლაპარაკობ უტრაკო მეტრაკე ხარ რამის თავი მაინც გქონდეს შიშით ქვეშიფსავ
1,1,Qeti Goliadze tqva bozma qetim
1,0,Fridon Abeslamidze mogityan dedis piri
,,იორგ ველაშვილ იპოვე შენც დრო რა დროს სააკაშვილია წინა საუკუნეში ჩარჩი
,,იორგ ველაშვილ თავისუფლება არა დედიმისისაა ვერც არევთ და არც თავისუფლება არ ეღირსებააა
,,იორგ ველაშვილ კარგი რა ღმერთი აღარა გწამს
,,Fridon Abeslamidze მიშა ადგა
1,0,იორგ ველაშვილ მოგიტყან საკაშვირი და შენი სექტა აზროვნება
,,დაგმობა შველის საქმეს ამ ღორების ერთიც
,,
1,1,ჩაი ვი რა ქალო შენ ნაცები და რუსები ერთნაირად ნაბო ვრები ხართ ყველანაირ პროვოკაციაზე მიდიხართ ოღონდ ქვეყანამ სტატუსი არ მიიღოს ვის ინტერესებშია ეს ყველაფერი ნაცების და რუსების წადი ახლა მოფსი და დაიძინე ვერც მაიდანს ეღირსებით და ვერც გადატრიალებას
,,ევროპულ ამერიკულად ღრმად აღშფოთებულ შეშფოთებულია ქ ნი პრეზიდენტი წყალი მიასხით ვინმემ გული არ წაუვიდეს
,,ეს რა უბედურება გვჭირს
,,პირველი ჯგუფი მიმდინარეობს მილიონიან დოლარის პროექტის http targmne epizy com განხორციელება ორიგინალი ტექსტური ლექსიკონის რუსულისა და ინგლისურის ქართულ ენაზე შევსებულია სიტყვითი რაოდენობა წინადადებაში ინგლისურში და რუსულ ენაში
,,ქალბატონო პრეზიდენტო გაყარეთ რუსეთის მოქალაქეები საქართველოდან
,,გაიღვიძა პრეზიდენტმა მგონი მაგრამ მიეძინება ისევ პრინციპული ქალია ვითომ
,,გახსოვდეთ არსებული დღევანდელობა არის ესეთი მდგომარეობა რუსეთს უნდა საბჭოთა კავშირის აღდგენა და ამერიკა ევროპას უნდათ ევროკავშირის გაფართოვება საქართველო არის დამოუკიდებელი ქვეყანა მცირე ეკონომიკური რესურსით და ამერიკა ევროპის და რუსეთის ინვესტიციებით ანუ ვალებით გამოჭედილი თუ საქართველო ევროკავშირში გაწევრიანდა რუსეთისგან ომი გარდაუვალია საქართველოს მიმართულებით და ამით პრაქტიკულად ყველაფერს კარგავს ქართველი ერი თუ საქართველო რუსეთში დაბრუნდა ამერიკა ევროპის ვალი აუცილებლად უნდა დაფაროს რათა არ დასანქცირდეს თუ საქართველო დამოუკიდებელ ქვეყნად შენარჩუნდა აუცილებლად მოუწევს დამოუკიდებლად მცირე ეკონომიკური რესურსის ფარგლებში რუსეთის და ამერიკა ევროპის მიერ განხორციელებული ინვენსტიციების თანხების დაფარვა არსებული ჩამონათვალი გზებიდან ქართველმა ერმა თვითონ უნდა აირჩიოს ისეთი გზა რომელიც არსებობის საშუალებას დაუტოვებს ერს ასეთი პრაქტიკული ვითარებაა ჩვენდა სამწუხაროდ პოლიტიკურად
,,გამოდით ხალხს მიმართეთ რო პოსტაობთ აქ რამის მაქნისი გამოდექით ესე არარაობა როგორ ხართ ყველა ფეიბუქზე პოსტებით რო შემოიფარგლებით ხოლმე თქვენს გვერდში ვარ თქვენს გვერდში პოსტებით ტფუუ
,,გამოუშვი პიდბული გალიიდან სანამ ორბელიანზე დაიწყეს სირბილი ორკებმა
,,მთავრობასაც მოუწოდეთ ქალბატონო პრეზიდენტო რომ ეს საქართველოს მოქალაქის გარდაცვალება კი არა მკვლელობა იყო
1,0,საქართველოში უძრავ ქონებას და მოქალაქეობას ორიგებენ ღორებს რომლებიც ქართველ ხალხს ხოცავენ დღემდე სად არიან საპატრიარქოს წარმომადგენლები შოკოლადებს რომ ურიგებდნენ რუს ჯარისკაცებს ჯვარს ამოფარებული კრემლის მონები მთავრობიდან დაწყებული სასულიერო პირებით დამთავრებული აბა ომი გვინდა
,,რა დღეში ვართ ჩვენსავე ტერიტორიაზე გვიკლავენ ძმებს და ჩვენი ქვეყანა მთლად გაარუსეს ყველა ფეხის ნაბიჯზე რუსი გვხვდება ჩურჩხელებს უწელავენ და შოთებს აცხობინებენ შევშფოთდეთ რა იქნება არაფერი რა უქნეს ოთხოზორიას მკვლელს
,,
,,
,,მოლაპარაკებაა საჭირო რუსებთან რაც არავის არ უნდა ლანძღვით და რუსების გინებით ვერაფერს გავალთ მწუხარების მონაწილე ვარ დაღუპული ოჯახის უფალმა გაანათლოს მისი სული
,,გამარჯობა მეგობრებო ძალიან გთხოვთ წუთი დამითმოთ ყველას დიდი მადლობა მყავს პატარა ვცხოვრობთ ქირით რომელსაც სოციალური დახმარებით ვიხდიდი და დროებით შემიჩერეს დავრჩით საშინელ დღეში ვეღარ ვიხდი ქირას ელემენტარული საკვების ყიდვასაც კი ვეღარ ვახერხებ ვერც ბავშვისთვის და ვერც ჩემთვის ბავშვისთვის ჰაინცის ფაფა და საფენები მჭირდება ლარამდე ჯდება ჩემთვის კი ელემენტარული საკვები პროდუქტები პური კარტოფილი ამასაც კი ვერ ვყიდულობ ისეთ დღეშივარ არვიცი რაგავაკეთო აღარვიცი ვის მივმართო გემუდარებით თუ კი ვინმეს შეგიძლიათ თუნდაც ძალიან მცირედით დახმარება გთხოვთ გვერდში დამიდექით ამ ძალიან მძიმე დროს ნუ დაგვტოვებთ მშიერს რომ იქნებ რამენაირად თავი გავიტანოთ ლარიც კი მე ხვალინდელ პურს მყიდულობს და გთხოვთ შეძლებისდაგვარად დამეხმარეთ ქვემოთ დავწერ ანგარიშის ნომერსაც გემუდარებით გადამარჩინეთ და ძალიან გთხოვთ იქნებ პოსტის გაზიარებით დამეხმაროთ რომ რაც შეიძლება ბევრ ადამიანამდე მივიტანო ჩემი საშინელი გასაჭირი უფალმა დაგლოცოთ ყველას დიდი მადლობა თიბისი ბანკი GE TB
,,რავიცი ჯარი და შეიარაღება არ გვჭირდებაო ეს ქალი არ ამბობდა
,,შეშფოთების იმედად ვართ სერიოზულად შეშფოთებით გვიცავს ევროპა მერე შენ ვითომ ძაან გაწუხებს ეგ ამბავი დიდიხანია ნათლიასთან აღარ გორაობ საწოლში სანამ რელიგიაზე ამოიღებ ხმას შენც კაი დემაგოგი ხარ
,,ომი რომ საქართველომ დაიწყო იმის გაგრძელებაა
,,ღრუსებს მის მკვლელობაში ჩვენი ღრუსეთის მონა ხელისუფლება დაეხმარა
,,Sad gkavs mtavriba egeni xom rusebi arian
,,მაგათი საშველი არ არის
,,გენაცვალე ქალბატონო პრეზიდენტო
,,უკანონო პრეზიდენტის აზრი თან ამ ტემაზე არშფოტებული ხარტ სადააა სამზიმარი
,,ის შიდაქართლელი გლეხი კი არ მოკლეს დღეს კიდევ ერთხელ ესროლეს საქართველოს კიდევ ერთი წლის თებერვალი წლის აგვისტო წლის მარტი წლის აპრილი წლის სექტემბერი წლის აგვისტო
,,
,,სა ბი ჩვენს მთავრობასაც ეს უნდა ხომ გვეუბნებიან წადითო ყველანი საზღვარგარეთ
,,სა ბი თქვენ რას თავაზობთ ჩვენც გვითხარი
,,სა ბი მაშინ მივესალმოთ ტერორისტების საქციელს და კიდევ მეტი რუსები ჩამოვასახლოთ საქართველოში
,,Lela Dvali გეტყობათ რომ სიზმრად ნახეთ https youtu be UmU RZSK E si cYLTj U TbcAqpoS ეს არის ბოლო განცხადება შეიარაღებაზე ეხლა პირველ განცხადებას https youtu be JSYxn tJu k si bHQekKq nosne F მოუსმინეთ კარგად რა თქვა პრეზიდენტმა და ესეც ნახეთ რამდენია დაფინანსება ჯარის სადაც ნახევარი ხელფასებია ეს წლისთვის ეს ვითომ ძაან ჭკვიანები თქვენსავით სიტყვებს ისვრიან და თავისი ჭკუით ვითომ პრეზიდენტმა სახელმწიფო საიდუმლეობის გათქვაში ადანაშაულებენ არადა ძაღლმა მამაძაღლმა ყველამ იცის რა შეიარაღება გვაქვს https youtu be lLwsqa C si JO JyPDA XAw ეს კი წლისთვის რა დაფინანსება ქონდა ჯარს მთავრობის ხელფასების დაფინანსება უფრო მეტია მე მგონი
,,Nini Zori ჭორებს არა სიზმრად ვნახე გაიკითხე კარგად და აღშფოთდი თავადაც
,,Lela Dvali რა უნდა მოვიძიო რაც არ უთქვია ჭორებს რომ ავრცელებთ აი ეს არის უბედურება კარგად მოიძიე რა თქვა და მერე დაწერე
,,Nini Zori მოიძიეთ მისი გამოსვლების არქივში გვქონდა ამაზეც აღშფოთება შეშფოთება უცნაურია არაფერი არ გსმენიათ
,,Lela Dvali როდის თქვა დადე ლინკი
,,Lela Dvali ჯუანშერი გინდ გვყოლია და გინდა არა
,,Gela Gogrichiani მთავრობა თავად კლავს
,,Flora Janashia შენს ოჯახის გულისთვის მეზობელი ვერ გაიხევა ერთ ადგილას თუ შენ ფეხებზე გკიდია შენი ოჯახი
,,Georgy Kalandia ძალიან ახლოს და კარგად ვიცნობ ჯერ შეისწავლეთ და მერე მომწერეთ ძვირფასო
,,Georgy Kalandia ადეკვატური თუ არაადეკვატური გიორგი
,,Nino Qutateladze სალომე ყველაზე ადექვატურია ხელისუფლებაში
0,0,დიდებულია გილოცავთ ადრესატიც და ჯილდოც სანაქებოა
,,ბატონი მურაზი ნამდვილად იმსახურებს ყველა ჯილდოს მაგრამ არა ამ არაქალისგან
,,ერთს შევაფასებ სალომეს სიტყვის გამოსვლისას არა დაწერილს კითხულობს თავისი ცოდნიდან გამომდინარე საუბრობს არ გავს ღარიბაშვილს კობახიძეს პაპუაშვილს და დაუთვლელი ოცნების წევრებს რომელიც ზეპირად ვერ აზროვნებენ და ისინი არიან ჩინოვნიკებად ბრავო პრეზიდენტს და ამ დიდ გადაწყვეტილებას
,,ასეთი რანგის ხელოვანს ნამდვილად დაფასება უნდა თუმცა აქ ამ ქვეყანაში არაფერია გასაკვირი ძალიან სასიხარულოა რომ ბოლოს და ბოლოს დააფასეს და შეაფასეს მისი დიდი ნიჭი
0,0,ზუსტად სწორი გადაწყვეტილება
,,სოფო ჯაფარიძეს არ აჯილდოვებთ ღიმილიანი საქართველოს გამო
0,0,ულოცავ ბატონ თეიმურაზს ამ სრულიად დამსახურებულ ჯილდოს დიდხანს სიცოცხლეს და შემოქმედებით აქტივობას უსურვებ დიდი მადლობა მას საქართველოსთვის უდიდესი ღვაწლის
,,თავისუფლება მიშას
,,მურაზ მურვანიძეს მსოფლიო აღიარება არ აკლია მაგრამ მაინც კარგია რომ ეს ორდენიც დაემატა მის რეგალიებს გულითადად გილოცავ მურაზ ჩემთვის ძალიან ძვირფასო ადამიანო
,,Kulebs icers kalbatoni prezidenti
0,0,დიდია ჩვენი მურაზ მურვანიძე მსოფლიოსია
0,0,ვულოცავ დიდი პატივისცემით დამსახურებულ ჯილდოს
0,0,ბატონი მურაზი საუკეთესოა შეენ
0,0,ვულოცავ ბატონ მურაზს
,,გილოცავ მურაზ ამ უდიდეს ჯილდოს
,,ყვავის ხელოვნება საქართველოში ზუგდიდის თეატრში გამართული სოდომგომორობა ამის დასტურია
,,მურაზ
0,0,Bravo
0,0,ვულოცავთ ბატონ მურაზს
0,0,დიდი ხელოვანი
0,0,ქალაქის პატრონები ჩვენ ვართ იმსახურებთ გილოცავთ
0,0,მაი კი უქნია ჭკვიანური
0,0,მურაზ ბატონო ჩვენი ქვეყნის სიამაყე ადამიანო გილოცავთ
0,0,გილოცავ გკოცნი გეხვევი მეამაყები ჩემო მურაზ
0,0,ბატონო თემურ მთელი სამშობლო ხარობს თქვენით და თქვენი წარმატებებით თქვენი ხელოვნებით
0,0,საუკეთესო ადამიანი
0,0,ბრავო
0,0,გილოცავთ ბატონო მურაზ
,,მურაზ ჩემო უსაყვარლესო და უნიჭიერესო ადამიანო ბრავოოოოოო გაცილებით ადრე და ბევრად მეტს იმსახურებ და ასეც იქნება მიყვარხარ
